p_id,name,position
YounAn20,Andre Young,DB
WildJa00,James Wilder,RB
HickMa20,Mark Hicks,LB
RobiBo00,Bo Robinson,RB-TE
BabbCh20,Charlie Babb,DB
CurlAu20,August Curley,LB
DoveJe20,Jerome Dove,DB
DickAn21,Anthony Dickerson,LB
BurlGa20,Gary Burley,DE-DT
KellLa20,Larry Keller,LB
SeayVi00,Virgil Seay,WR
AlexCh00,Charles Alexander,RB
GarrMi20,Mike Garrett,P
FerrRo20,Ron Ferrari,LB
FranWa00,Wallace Francis,WR
MannCh00,Charles Mann,DE
SochBr00,Brian Sochia,NT-DE
ScotCl00,Clarence Scott,DB
DonoPa00,Pat Donovan,T
HaynMi01,Mike Haynes,DB
LewiAl00,Albert Lewis,DB
ZambJo20,John Zamberlin,LB
FergKe20,Keith Ferguson,DE
HenrWa00,Wally Henry,WR
PaneCh20,Chris Pane,DB
GrifJe20,Jeff Griffin,DB
SimpKe20,Keith Simpson,DB
HarrJo24,John Harris,DB
FrieMi00,Mike Friede,WR
BranCl00,Cliff Branch,WR
CosbDo00,Doug Cosbie,TE
KineSt20,Steve Kiner,LB
DixoZa00,Zachary Dixon,RB
ColzNe20,Neal Colzie,DB
StepJa21,Jack Steptoe,WR
LapkMy20,Myron Lapka,NT-DE-DT
MerrCa20,Casey Merrill,DE-DT
KremKe20,Ken Kremer,NT-DE
BarnBe20,Benny Barnes,DB
DuseBr20,Brad Dusek,LB
ThurDe20,Dennis Thurman,DB
WillMi23,Mike Williams,DB
McCaDo00,Don McCauley,RB
ReddGl20,Glen Redd,LB
FortIk00,Ike Forte,RB
JohnKe22,Ken Johnson,DE
HarrBo20,Bo Harris,LB
PoolLa00,Larry Poole,RB
CannJo22,John Cannon,DE-NT
RobiJo21,Johnny Robinson,NT
SimpRo20,Ron Simpkins,LB
JameJo20,John James,P
IronGe20,Gerald Irons,LB
HartJi00,Jim Hart,QB
WalkGl20,Glen Walker,P
TiceJo00,John Tice,TE
BellMi20,Mike Bell,DE
JohnCe21,Cecil Johnson,LB
ShulMi00,Mickey Shuler,TE
StroDo00,Don Strock,QB
WalkFu20,Fulton Walker,DB
GrayMe01,Mel Gray,WR
RabaBo20,Bob Raba,TE
NelsTe00,Terry Nelson,TE
CastJe21,Jeremiah Castille,DB
TerrNa20,Nat Terry,DB
RadeJo20,John Rade,LB
JordCu20,Curtis Jordan,DB
MullDa20,Davlin Mullen,DB
ToewLo20,Loren Toews,LB
MyleJe20,Jesse Myles,RB
EastRa20,Ray Easterling,DB
JackHa00,Harold Jackson,WR-FL
BateBi00,Bill Bates,DB
OwenAr00,Artie Owens,WR-RB
GoodEu00,Eugene Goodlow,WR
SanfRi20,Rick Sanford,DB
HargJi21,Jimmy Hargrove,RB
ThomKe01,Ken Thomas,RB
TallDa00,Darryl Talley,LB
vitiesan01,Sandro Vitiello,K
johnsnor01,Norm Johnson,K
BrigGr21,Greg Bright,DB
RourJi20,Jim Rourke,T-G
CunnDo20,Douglas Cunningham,WR
RiveGa20,Gabe Rivera,NT
HarrEr20,Eric Harris,DB
MunoAn00,Anthony Munoz,T
DaviJo01,Johnny Davis,RB
ParsBo00,Bob Parsons,TE-P
LiscRu00,Rusty Lisch,QB
JennDa20,Dave Jennings,P
SimpO.00,O.J. Simpson,RB
KempJe00,Jeff Kemp,QB
HarpWi20,Willie Harper,LB
ContBi20,Bill Contz,T
ThomNo21,Norm Thompson,DB
WatsSt00,Steve Watson,WR
HughRa20,Randy Hughes,DB
KingLi20,Linden King,LB
PerkJo00,Johnny Perkins,WR
BrowRa22,Ray Brown,DB
MannWa20,Wade Manning,WR-DB
MoorAl00,Alvin Moore,RB
AndeKi20,Kim Anderson,DB
HawkFr00,Frank Hawkins,RB
MarvEu20,Eugene Marve ,LB
DuncFr20,Frank Duncan,DB
DuheA.00,A.J. Duhe,LB-DE
SpriKi20,Kirk Springs,DB
WagnSt20,Steve Wagner,DB
DorsTo00,Tony Dorsett,RB
BurtJi00,Jim Burt,NT-DT
LaidSc00,Scott Laidlaw,RB
RudoBe20,Ben Rudolph,DT-DE
allegrau01,Raul Allegre,K
MaysDa00,Dave Mays,QB
WheeDw20,Dwight Wheeler,T-C-G
HoltRo20,Robert Holt,WR
AndeJo20,John Anderson,LB
CartM.20,M.L. Carter,DB
CharMi20,Mike Charles,NT-DE-DT
PerrBe20,Benny Perrin,DB
HuntAl00,Al Hunter,RB
KinnLa00,Larry Kinnebrew,RB
bahrxchr01,Chris Bahr,K
HarrDe02,Dennis Harrison,DE
WillCa01,Carlton Williamson,DB
McMiRa00,Randy McMillan,RB
PaytEd00,Eddie Payton,RB
LaveJo00,Joe Lavender,DB
CorbJa00,Jim Corbett,TE
BeveDa20,David Beverly,P
YounTy00,Tyrone Young,WR
JoneLe22,Leroy Jones ,DE
HeflVi21,Vince Heflin,WR
PortTr00,Tracy Porter,WR
LambJa00,Jack Lambert,LB
SchmTe20,Terry Schmidt,DB
CorkJo20,John Corker,LB
RubiRo00,Rob Rubick,TE
ElshNe20,Neil Elshire,DE
HardBu00,Buddy Hardeman,RB
McKiDe01,Dennis McKinnon,WR
HamiRa21,Ray Hamilton,NT-DE
PenaJa20,Jairo Penaranda,RB
steinfre01,Fred Steinfort,K
TurnRo20,Robert Turner,RB
HartHa00,Harold Hart,RB
BarbMa00,Marion Barber Jr.,RB
McCrPr20,Prentice McCray,DB
WaltLa00,Larry Walton,WR-FL
DianRi00,Rich Diana,RB
GoodJo22,John Goodson,P
LuthEd00,Ed Luther,QB
thomabob01,Bob Thomas,K
RickLa20,Lawrence Ricks,RB
WinkBo20,Bob Winkel,DT-DE
MaucCa20,Carl Mauck,C
ClarBr23,Bruce Clark,DE-DT
MehlLa00,Lance Mehl,LB
SallJe20,Jerome Sally,NT
HarrPe00,Perry Harrington,RB
ShirGa00,Gary Shirk,TE
RobiMa01,Matt Robinson,QB
ElliTo20,Tony Elliott,NT
RussBo00,Booker Russell,RB
RiggGe00,Gerald Riggs,RB
VaugRu20,Ruben Vaughan,DT-NT-DE
OlkeNe20,Neal Olkewicz,LB
andergar02,Gary Anderson,K
CarsHa00,Harry Carson,LB
SimpBi20,Bill Simpson,DB
RobiSh20,Shelton Robinson,LB
PuzzDa20,Dave Puzzuoli,NT
StriAr20,Art Stringer,LB
HookRo00,Roland Hooks,RB
DombPa20,Paul Dombroski,DB
GrigAn20,Anthony Griggs,LB
BrudBo20,Bob Brudzinski,LB
AlzaLy00,Lyle Alzado,DE-DT
SpraDa20,Danny Spradlin,LB
MartMi00,Mike Martin,WR
ManuDa20,Dan Manucci,QB
BrenHo00,Hoby Brenner,TE
stenejan01,Jan Stenerud,K
GreeBo00,Boyce Green,RB
SchmGe21,George Schmitt,DB
RunaMa20,Max Runager,P
CobbMa20,Marvin Cobb,DB
ArmsHa20,Harvey Armstrong,NT
SmitLu20,Lucious Smith,DB
CrutDw00,Dwayne Crutchfield,RB
McAlKe20,Ken McAlister,LB-DB
MurrBi21,Bill Murrell,TE
TatuJa00,Jack Tatum,DB
LewiCl21,Cliff Lewis,LB
GreeDa00,Darrell Green,DB
PlunJi00,Jim Plunkett,QB
NettDo20,Doug Nettles,DB
McClWi00,Willie McClendon,RB
GreeJe20,Jessie Green,WR
JackLo00,Louis Jackson,RB
SmitWa23,Wayne Smith,DB
TiceMi00,Mike Tice,TE
ThomDe22,Del Thompson,RB
LeonTo21,Tony Leonard,DB
HummDa00,David Humm,QB
BrooPe20,Perry Brooks,DT
NewtTo00,Tom Newton,RB
CarpRo01,Rob Carpenter,RB
ThomPa00,Pat Thomas,DB
WilkDo00,Doug Wilkerson,G
MargKe00,Ken Margerum,WR
