abbr,wy,qb,qb_not_full_game,rb1,rb2,wr1,wr2,wr3
MIN,6 | 1978,TarkFr00,0,YounRi00,MillRo00,WhitSa00,RashAh00,TuckBo00
MIA,6 | 1978,StroDo00,0,WillDe01,HarrLe01,HarrDu00,CefaJi00,MoorNa00
CIN,6 | 1978,AndeKe00,0,JohnPe00,GrifAr00,CurtIs00,BrooBi01,BassDo00
ATL,7 | 1978,BartSt00,0,BeanBu00,StanHa00,FranWa00,RyckBi00,PearDe00
DET,7 | 1978,DaniGa00,0,BussDe00,KingHo00,ScotFr01,ThomJe02,HillDa01
CIN,7 | 1978,AndeKe00,0,JohnPe00,GrifAr00,LawxDe20,CurtIs00,WalkRi00
NWE,7 | 1978,GrogSt00,0,CunnSa00,JohnAn01,MorgSt00,JackHa00,FranRu00
CLE,7 | 1978,SipeBr00,0,PruiGr00,PruiMi00,NewsOz00,RuckRe00,LogaDa00
PIT,7 | 1978,BradTe00,0,HarrFr00,BleiRo00,SwanLy00,StalJo00,GrosRa00
GNB,7 | 1978,WhitDa02,0,MiddTe00,SmitBa00,LoftJa00,ThomAu00,McGeRi00
SEA,7 | 1978,ZornJi00,0,SimsDa00,SmitSh00,LargSt00,HowaRo00,McCuSa00
NYG,7 | 1978,PisaJo00,0,KotaDo00,HammBo00,ThomJa01,daneljoe01,None
TAM,7 | 1978,WillDo01,0,BellRi01,DaviJo01,ObraJi00,OwenMo00,MuckLa00
PHI,7 | 1978,JawoRo00,0,MontWi00,HogaMi00,KrepKe00,CarmHa00,PaynKe00
WAS,7 | 1978,TheiJo00,0,RiggJo00,HarmCl00,ThomRi00,McDaJo00,FugeJe00
CLT,7 | 1978,TrouBi00,1,WashJo00,LeakRo00,McCaDo00,DougGl00,CarrRo00
NYJ,7 | 1978,RobiMa01,0,LongKe00,DierSc00,WalkWe00,GaffDe00,ShulMi00
CRD,7 | 1978,HartJi00,0,OtisJi00,MorrWa00,RamsEa00,GrayMe01,TillPa00
DAL,7 | 1978,StauRo00,0,DorsTo00,NewhRo00,PearDr00,HillTo00,PearPr00
OTI,7 | 1978,PastDa00,0,CampEa00,WilsTi00,BarbMi01,RenfMi00,BurrKe00
BUF,7 | 1978,FergJo00,0,MillTe00,BrowCu00,LewiFr00,ChanBo00,GantRe00
MIN,7 | 1978,TarkFr00,0,ForeCh00,YounRi00,RashAh00,WhitSa00,TuckBo00
RAM,7 | 1978,HadePa00,0,BryaCu00,CappJo00,NelsTe00,JessRo00,MillWi00
RAI,7 | 1978,StabKe00,0,VanEMa00,WhitAr00,BranCl00,CaspDa00,BileFr00
KAN,7 | 1978,AdamTo00,0,ReedTo00,McKnTe00,WhitWa00,DorsLa00,None
SDG,7 | 1978,FoutDa00,0,MitcLy00,WoodDo00,JoinCh00,KleiBo00,JeffJo00
MIA,7 | 1978,GrieBo00,1,WillDe01,HarrLe01,MoorNa00,HarrDu00,TillAn00
SFO,7 | 1978,DebeSt00,0,SimpO.00,HofePa00,SoloFr01,BoydEl00,MacAKe21
NOR,7 | 1978,MannAr00,0,GalbTo00,MuncCh00,HarrIk00,ChanWe00,MautRi00
DEN,7 | 1978,MortCr00,1,KeywJo00,PerrLo00,UpchRi00,OdomRi00,DolbJa00
CHI,7 | 1978,AvelBo00,0,PaytWa00,HarpRo00,ScotJa00,SchuSt00,RichGo00
BUF,8 | 1978,FergJo00,0,MillTe00,BrowCu00,GantRe00,ChanBo00,LewiFr00
CIN,8 | 1978,ReavJo00,0,JohnPe00,GrifAr00,BrooBi01,CurtIs00,McInPa00
NYG,8 | 1978,PisaJo00,0,KotaDo00,HammBo00,ThomJa01,RobiJi00,VanPBr01
