key,opp_abbr,wy,p_id,careerAvg_completed_passes,careerAvg_attempted_passes,careerAvg_passing_yards,careerAvg_passing_touchdowns,careerAvg_interceptions_thrown,careerAvg_times_sacked,careerAvg_yards_lost_from_sacks,careerAvg_longest_pass,careerAvg_quarterback_rating,careerAvg_rush_attempts,careerAvg_rush_yards,careerAvg_rush_touchdowns,careerAvg_longest_rush,careerAvg_isHome,careerAvg_completion_percentage,careerAvg_td_percentage,careerAvg_interception_percentage,careerAvg_yards_per_attempt,careerAvg_adjusted_yards_per_attempt,careerAvg_yards_per_completion,careerAvg_sack_percentage,careerAvg_net_gained_per_pass_attempt,careerAvg_adjusted_net_yards_per_pass_attempt,careerAvg_rush_yards_per_attempt
CRD-198009210det,DET,3 | 1980,HartJi00,15.484,29.806,191.161,0.935,1.355,1.645,12.677,33.548,65.229,0.613,0.742,0.065,0.71,0.484,52.274,3.684,4.513,6.404,5.109,12.279,5.228,5.683,4.414,0.387
NYJ-198009210nyj,SFO,3 | 1980,ToddRi00,11.864,22.773,176.227,1.045,1.682,1.909,16.318,36.773,68.523,2.409,5.364,0.273,5.273,0.5,53.314,4.812,7.772,8.22,5.685,15.463,7.911,6.922,4.659,2.797
SFO-198009210nyj,NYJ,3 | 1980,DebeSt00,17.667,31.7,190.367,0.933,1.567,1.267,10.267,32.067,64.27,1.1,1.0,0.033,1.2,0.467,56.476,3.874,5.126,6.726,5.195,11.371,3.938,6.188,4.737,0.514
NOR-198009210nor,BUF,3 | 1980,MannAr00,17.147,28.176,207.853,0.971,1.118,1.765,14.5,39.412,83.465,2.235,11.794,0.088,8.735,0.5,60.926,4.297,3.963,7.58,6.657,12.563,5.984,6.619,5.768,5.278
BUF-198009210nor,NOR,3 | 1980,FergJo00,13.265,24.971,179.794,0.912,1.029,2.118,18.529,38.235,71.738,1.647,5.0,0.029,3.412,0.529,52.816,3.897,4.268,7.117,5.976,13.263,8.074,5.825,4.775,1.616
OTI-198009210oti,CLT,3 | 1980,StabKe00,17.294,28.676,204.176,1.235,1.676,2.176,19.471,30.0,78.453,0.618,-0.118,0.0,0.118,0.471,60.322,4.658,5.785,7.236,5.565,12.131,7.363,6.041,4.501,-0.147
CLT-198009210oti,OTI,3 | 1980,JoneBe00,12.556,23.333,168.889,0.889,0.667,2.0,17.444,39.0,82.5,2.667,15.222,0.222,10.778,0.556,55.383,4.559,2.418,7.471,7.296,14.348,9.297,5.774,5.58,6.902
DAL-198009210dal,TAM,3 | 1980,WhitDa01,2.079,3.816,26.526,0.105,0.184,0.184,2.184,7.5,27.647,0.237,0.737,0.0,1.211,0.5,20.113,0.526,1.204,2.692,2.254,4.201,2.738,2.165,1.719,0.781
TAM-198009210dal,DAL,3 | 1980,WillDo01,8.967,22.1,133.8,0.933,1.167,0.5,4.667,32.833,56.757,2.633,7.433,0.133,5.033,0.533,38.981,4.444,5.592,5.807,4.18,14.71,2.085,5.501,3.944,2.061
DEN-198009210den,SDG,3 | 1980,RobiMa01,10.562,22.375,160.562,0.812,1.25,2.375,18.75,39.625,67.2,2.25,2.938,0.188,4.312,0.5,46.962,4.328,5.734,7.708,5.994,16.266,10.422,6.154,4.788,1.169
SDG-198009210den,DEN,3 | 1980,FoutDa00,18.559,30.382,236.206,1.618,1.588,1.618,10.647,37.706,83.103,1.441,3.059,0.118,3.029,0.529,60.511,5.522,5.443,7.803,6.458,13.129,5.467,7.038,5.814,1.175
RAI-198009210rai,WAS,3 | 1980,PastDa00,12.289,23.105,159.789,0.974,1.211,1.553,12.079,38.316,72.274,1.053,1.289,0.0,1.395,0.421,54.144,4.466,5.276,7.192,5.712,13.015,6.58,6.25,4.91,0.671
WAS-198009210rai,RAI,3 | 1980,TheiJo00,13.606,25.455,172.727,1.03,0.97,2.364,20.152,34.818,74.333,2.667,12.303,0.182,9.545,0.485,53.255,4.408,3.619,6.842,6.094,13.14,8.403,5.535,4.855,5.249
