key,opp_abbr,wy,p_id,seasonAvg_completed_passes,seasonAvg_attempted_passes,seasonAvg_passing_yards,seasonAvg_passing_touchdowns,seasonAvg_interceptions_thrown,seasonAvg_times_sacked,seasonAvg_yards_lost_from_sacks,seasonAvg_longest_pass,seasonAvg_quarterback_rating,seasonAvg_rush_attempts,seasonAvg_rush_yards,seasonAvg_rush_touchdowns,seasonAvg_longest_rush,seasonAvg_isHome,seasonAvg_completion_percentage,seasonAvg_td_percentage,seasonAvg_interception_percentage,seasonAvg_yards_per_attempt,seasonAvg_adjusted_yards_per_attempt,seasonAvg_yards_per_completion,seasonAvg_sack_percentage,seasonAvg_net_gained_per_pass_attempt,seasonAvg_adjusted_net_yards_per_pass_attempt,seasonAvg_rush_yards_per_attempt
DAL-198009210dal,TAM,3 | 1980,WhitDa01,15.0,26.0,199.5,1.0,1.5,0.5,8.0,36.5,63.9,0.0,0.0,0.0,0.0,0.0,57.19,2.94,7.025,7.265,4.69,12.65,1.43,6.915,4.34,0.0
TAM-198009210dal,DAL,3 | 1980,WillDo01,10.5,22.0,126.0,1.0,0.5,1.0,7.0,26.0,73.0,5.5,31.0,0.5,14.0,0.5,47.93,4.76,2.175,5.8,5.775,11.895,4.0,5.35,5.405,5.82
DEN-198009210den,SDG,3 | 1980,RobiMa01,14.0,30.5,188.0,0.0,1.0,2.5,21.0,38.5,60.7,2.5,10.0,1.0,5.5,0.5,46.95,0.0,2.44,7.12,6.025,14.845,6.825,6.125,5.125,4.665
SDG-198009210den,DEN,3 | 1980,FoutDa00,25.0,37.5,308.5,3.5,2.5,1.5,10.5,31.5,102.9,1.5,6.0,0.0,5.0,0.5,66.825,9.86,5.68,8.11,7.525,12.145,3.735,7.545,7.0,3.75
RAI-198009210rai,WAS,3 | 1980,PastDa00,17.0,35.0,277.5,1.5,1.5,2.0,16.0,51.5,70.4,2.0,12.0,0.0,5.0,0.0,48.4,4.22,4.545,7.89,6.69,16.275,5.22,7.045,5.855,3.0
WAS-198009210rai,RAI,3 | 1980,TheiJo00,14.5,27.5,155.0,0.5,0.5,1.0,5.5,20.5,70.55,2.5,24.0,0.5,22.0,0.5,51.75,2.38,1.47,5.65,5.465,11.0,3.705,5.265,5.08,8.585
RAM-198009210ram,GNB,3 | 1980,FerrVi00,10.5,17.0,118.5,0.0,2.0,0.5,0.0,22.5,71.9,0.0,0.0,0.0,0.0,0.5,69.31,0.0,6.895,7.895,4.79,11.37,1.665,7.785,4.785,0.0
GNB-198009210ram,RAM,3 | 1980,DickLy00,13.0,26.0,156.0,0.0,1.0,3.0,26.0,29.5,52.0,0.5,0.0,0.0,0.0,1.0,49.39,0.0,3.94,6.035,4.265,12.34,10.815,4.425,2.855,0.0
SEA-198009210sea,NWE,3 | 1980,ZornJi00,17.5,30.0,214.5,1.5,1.5,2.5,20.0,33.0,77.9,2.5,-2.0,0.0,-0.5,0.5,58.755,5.22,4.88,7.155,6.0,12.235,7.19,6.07,5.035,-0.665
NWE-198009210sea,SEA,3 | 1980,GrogSt00,17.0,28.5,223.0,2.5,1.0,1.5,13.5,46.0,101.0,4.0,25.0,0.0,19.0,1.0,60.11,8.995,3.54,8.05,8.26,13.115,4.88,7.245,7.445,6.535
PHI-198009220phi,NYG,3 | 1980,JawoRo00,19.0,27.0,257.5,2.5,0.5,0.0,0.0,50.5,123.25,1.0,1.0,0.0,1.0,0.5,70.605,9.2,1.925,9.52,10.495,13.655,0.0,9.52,10.495,0.5
NYG-198009220phi,PHI,3 | 1980,SimmPh00,14.0,30.0,227.0,3.5,2.0,2.0,8.5,46.5,76.95,3.0,3.5,0.0,4.5,0.5,46.495,11.515,6.785,7.515,6.765,16.0,6.25,6.825,6.2,1.375
BUF-198009280buf,RAI,4 | 1980,FergJo00,20.0,30.667,233.333,1.333,2.333,0.333,4.667,48.667,80.167,3.333,8.0,0.0,8.333,0.667,65.18,4.267,7.357,7.617,5.157,11.603,1.04,7.37,4.92,2.22
RAI-198009280buf,BUF,4 | 1980,PastDa00,17.0,34.333,243.667,1.667,2.0,1.667,14.667,41.0,63.467,1.333,8.0,0.0,3.333,0.333,49.44,4.833,6.06,7.037,5.277,14.3,4.46,6.303,4.58,2.0
CIN-198009280cin,OTI,4 | 1980,ThomJa00,10.0,21.0,101.667,1.333,0.667,1.333,12.667,28.0,72.967,0.333,0.0,0.0,0.0,0.667,47.023,6.68,2.977,4.897,4.89,10.153,5.92,4.13,4.133,0.0
OTI-198009280cin,CIN,4 | 1980,StabKe00,21.667,30.667,200.667,0.333,2.333,2.333,22.667,28.0,69.633,1.0,-1.333,0.0,-0.667,0.333,74.553,1.587,7.05,7.223,4.37,9.49,7.963,5.757,3.157,-0.667
DET-198009280det,MIN,4 | 1980,DaniGa00,11.0,20.0,192.0,0.667,0.0,2.0,16.667,56.0,98.833,1.667,10.333,0.0,8.333,0.333,55.78,3.35,0.0,10.04,10.713,17.58,9.247,8.3,8.907,5.0
MIN-198009280det,DET,4 | 1980,KramTo00,18.0,32.667,241.333,1.667,1.0,3.333,22.333,52.333,80.433,0.667,2.333,0.0,2.333,0.667,53.173,5.193,3.607,7.613,7.03,14.39,11.427,5.92,5.45,2.333
GNB-198009280gnb,DAL,4 | 1980,DickLy00,13.0,25.667,162.667,0.333,1.667,4.0,33.667,35.0,50.833,0.667,0.667,0.0,0.667,0.667,50.26,1.333,6.627,6.37,3.657,12.74,13.66,4.317,2.033,0.667
DAL-198009280gnb,GNB,4 | 1980,WhitDa01,18.0,28.333,214.333,1.667,1.0,0.333,5.333,33.667,83.867,0.667,-1.333,0.0,-0.667,0.333,62.37,4.99,4.683,7.307,6.197,11.823,0.953,7.073,5.963,-0.667
MIA-198009280mia,NOR,4 | 1980,GrieBo00,8.0,13.333,92.333,1.0,1.333,2.333,25.0,23.667,60.3,0.333,0.0,0.0,0.0,0.333,56.68,6.617,10.25,6.703,3.413,11.727,15.597,3.95,1.237,0.0
